table,model_id,timing_mode,checkpoint_id,target_id,n_seeds,seeds,rmse_min,rmse_median,rmse_max,rmse_range,convergence_rate_min,convergence_rate_median,convergence_rate_max,median_relative_llf_improvement_max,revision_target_id
revision,joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,,5,1;2;3;4;5,0.2706201690697105,0.270729537393367,0.2708388208716252,0.0002186518019147,0.5,0.5833333333333334,0.5833333333333334,0.0001247792734758,DELTA_TS
revision,joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,,5,1;2;3;4;5,0.5878615851900114,0.5879255533656628,0.5880876048163238,0.0002260196263124,0.6666666666666666,0.75,0.75,9.723998083024325e-05,DELTA_MT
revision,joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,,5,1;2;3;4;5,0.4014675822359897,0.4017573279390506,0.4034224417329829,0.0019548594969932,0.5833333333333334,0.6666666666666666,0.6666666666666666,9.742301446044752e-05,DELTA_SA
revision,joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,,5,1;2;3;4;5,0.270676065671205,0.270788457706541,0.2708923135594638,0.0002162478882588,0.5,0.5833333333333334,0.5833333333333334,0.0001217806786841,DELTA_TS
revision,joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,,5,1;2;3;4;5,0.5876892709693736,0.5878459620358883,0.5880698104368267,0.000380539467453,0.6666666666666666,0.6666666666666666,0.75,9.818040654472346e-05,DELTA_MT
revision,monthly_mixed_frequency_kalman_em,exact,pre_advance,,5,1;2;3;4;5,0.2385584738595018,0.2385584738595018,0.2385584738595018,0.0,1.0,1.0,1.0,9.448204234813744e-05,DELTA_SA
revision,monthly_mixed_frequency_kalman_em,exact,pre_second,,5,1;2;3;4;5,0.2587022962584349,0.2587022962584349,0.2587022962584349,0.0,1.0,1.0,1.0,9.344417099474332e-05,DELTA_TS
revision,monthly_mixed_frequency_kalman_em,exact,pre_third,,5,1;2;3;4;5,0.5785632400630882,0.5785632400630882,0.5785632400630882,0.0,1.0,1.0,1.0,9.384653832010424e-05,DELTA_MT
revision,monthly_mixed_frequency_kalman_em,pseudo,pre_advance,,5,1;2;3;4;5,0.2387452345121499,0.2387452345121499,0.2387452345121499,0.0,1.0,1.0,1.0,9.464055731008136e-05,DELTA_SA
revision,monthly_mixed_frequency_kalman_em,pseudo,pre_second,,5,1;2;3;4;5,0.2587148110256348,0.2587148110256348,0.2587148110256348,0.0,1.0,1.0,1.0,9.333545536690683e-05,DELTA_TS
revision,monthly_mixed_frequency_kalman_em,pseudo,pre_third,,5,1;2;3;4;5,0.5784598744747702,0.5784598744747702,0.5784598744747702,0.0,1.0,1.0,1.0,9.22090328105168e-05,DELTA_MT
revision,revision_dfm_kalman_em,exact,pre_advance,,5,1;2;3;4;5,0.2182118433100873,0.2182657476621955,0.2184808435745888,0.0002690002645014,1.0,1.0,1.0,9.575409124456048e-05,DELTA_SA
revision,revision_dfm_kalman_em,exact,pre_second,,5,1;2;3;4;5,0.2673793564547344,0.2673896754164933,0.2673980046141422,1.8648159407830267e-05,1.0,1.0,1.0,9.551111538095696e-05,DELTA_TS
revision,revision_dfm_kalman_em,exact,pre_third,,5,1;2;3;4;5,0.5874011136066417,0.5874065003018691,0.587422738923488,2.1625316846241027e-05,1.0,1.0,1.0,9.463061706674004e-05,DELTA_MT
revision,revision_dfm_kalman_em,pseudo,pre_advance,,5,1;2;3;4;5,0.2183276910674484,0.2183843918924282,0.2185988477317683,0.0002711566643198,1.0,1.0,1.0,9.57421932164726e-05,DELTA_SA
revision,revision_dfm_kalman_em,pseudo,pre_second,,5,1;2;3;4;5,0.26741161566217,0.26742203501864,0.2674300543826385,1.843872046852768e-05,1.0,1.0,1.0,9.550787274245146e-05,DELTA_TS
revision,revision_dfm_kalman_em,pseudo,pre_third,,5,1;2;3;4;5,0.5873921348455695,0.5873974529884395,0.5874136389262535,2.1504080684020543e-05,1.0,1.0,1.0,9.586286353342258e-05,DELTA_MT
