model_id,timing_mode,checkpoint_id,outcome_id,threshold_abs_revision,n_obs,sign_accuracy,balanced_accuracy,sensitivity,specificity,precision,actual_positive_pred_positive,actual_positive_pred_nonpositive,actual_negative_pred_positive,actual_negative_pred_nonpositive,mean_abs_realized_revision,mean_abs_forecast_revision
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,DELTA_TS,0.2,38,0.5789473684210527,0.4571428571428572,0.7142857142857143,0.2,0.7142857142857143,20,8,8,2,0.41342105263157897,0.0076366835485129686
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,DELTA_MT,0.0,74,0.28378378378378377,0.29369842460615153,0.3548387096774194,0.23255813953488372,0.25,11,20,33,10,1.080717543507795,0.006398226243459818
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,DELTA_MT,0.1,71,0.2535211267605634,0.2623152709359606,0.3103448275862069,0.21428571428571427,0.21428571428571427,9,20,33,9,1.1234777915756655,0.006500915828251237
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,DELTA_MT,0.2,67,0.23880597014925373,0.24714285714285716,0.28,0.21428571428571427,0.175,7,18,33,9,1.1817877252288065,0.006677932606395314
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,DELTA_SA,0.0,79,0.620253164556962,0.5561155913978495,0.8541666666666666,0.25806451612903225,0.640625,41,7,23,8,0.3997025316455695,0.2525976891061967
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,DELTA_SA,0.1,61,0.6229508196721312,0.5574324324324325,0.8648648648648649,0.25,0.64,32,5,18,6,0.5046213114754097,0.2352585915214642
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,DELTA_SA,0.2,52,0.6538461538461539,0.5821371610845295,0.8484848484848485,0.3157894736842105,0.6829268292682927,28,5,13,6,0.5673499999999999,0.24123606028862696
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,DELTA_TS,0.0,79,0.5443037974683544,0.4904761904761905,0.7142857142857143,0.26666666666666666,0.6140350877192983,35,14,22,8,0.23798607594936708,0.007190433748929522
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,DELTA_TS,0.1,51,0.5294117647058824,0.42647058823529416,0.7352941176470589,0.11764705882352941,0.625,25,9,15,2,0.3465450980392156,0.00724072113710745
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,DELTA_TS,0.2,38,0.5789473684210527,0.4571428571428572,0.7142857142857143,0.2,0.7142857142857143,20,8,8,2,0.41342105263157897,0.00755033257809413
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,DELTA_MT,0.0,74,0.2972972972972973,0.30982745686421603,0.3870967741935484,0.23255813953488372,0.26666666666666666,12,19,33,10,1.080717543507795,0.006374314240384073
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,DELTA_MT,0.1,71,0.2676056338028169,0.27955665024630544,0.3448275862068966,0.21428571428571427,0.23255813953488372,10,19,33,9,1.1234777915756655,0.006474991228920912
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,DELTA_MT,0.2,67,0.2537313432835821,0.2671428571428571,0.32,0.21428571428571427,0.1951219512195122,8,17,33,9,1.1817877252288065,0.006651310461370639
