model_id,timing_mode,checkpoint_id,revision_target_id,n_forecasts,RMSE,MAE,bias,relative_RMSFE,DM_test,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,mean_numerical_guard_event_count,max_numerical_guard_event_count,initialization_seed,source_dir
revision_dfm_kalman_em,pseudo,pre_third,DELTA_MT,12,0.5873974529884395,0.4949391482410636,-0.2163376234221239,0.1493520143447593,0.285301743808585,0.5833333333333334,1.0,27.25,9.544167645592744e-05,9.5848070606581e-05,9.913603648374863e-05,0.0,0.0,1,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
standard_dfm,pseudo,pre_third,DELTA_MT,12,0.8714588189457128,0.6763859085236993,-0.0568173865842447,0.2215776206823435,0.3008067814974284,0.5,1.0,0.0,,,,0.0,0.0,1,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
ar,exact,pre_advance,DELTA_SA,12,0.2677032186437722,0.2310021451991581,0.0573980020927568,1.0,1.0,0.5833333333333334,1.0,0.0,,,,0.0,0.0,2,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_2
bridge,exact,pre_advance,DELTA_SA,12,0.3196982962604459,0.2778985376898982,0.0677128877834062,1.194226568810376,0.1295630016016453,0.5833333333333334,1.0,0.0,,,,0.0,0.0,2,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_2
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,12,0.2421589698249203,0.2081999999999999,-0.02885,0.9045799712522576,0.2698071321429216,0.0,0.5,44.583333333333336,0.00029157509639,0.0001376965964917,0.0012941329241129,0.0,0.0,2,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_2
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,12,0.3980000050289998,0.3216933275778206,0.0578078145293386,1.486721030271254,0.0995811116066296,0.5,0.6666666666666666,44.416666666666664,0.0001517379469482,9.259887339641748e-05,0.0004309055540313,0.0,0.0,2,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_2
midas_umidas,exact,pre_advance,DELTA_SA,12,1.0115523653580298,0.7181568402672717,0.4929875027885932,3.778633557275544,0.0450888168263253,0.5833333333333334,1.0,0.0,,,,0.0,0.0,2,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_2
monthly_mixed_frequency_kalman_em,exact,pre_advance,DELTA_SA,12,0.2385584738595018,0.1930528166682795,0.0814292825002112,0.8911303908413117,0.033048462063901,0.5833333333333334,1.0,28.583333333333332,9.431670360387908e-05,9.448204234813744e-05,9.992598888191642e-05,0.0,0.0,2,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_2
no_revision,exact,pre_advance,DELTA_SA,12,0.2421589698249203,0.2081999999999999,-0.02885,0.9045799712522576,0.2698071321429216,0.0,1.0,0.0,,,,0.0,0.0,2,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_2
release_dfm,exact,pre_advance,DELTA_SA,12,0.2499810027346831,0.2076016390589358,0.0664932113177948,0.9337990181856136,0.0337129180411145,0.5833333333333334,1.0,0.0,,,,0.0,0.0,2,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_2
