model_id,timing_mode,checkpoint_id,outcome_id,revision_size_bin,n_obs,RMSE,MAE,bias
no_revision,pseudo,pre_advance,DELTA_SA,abs_gt_0p5,20,1.0382029315119465,0.9402799999999998,-0.06386999999999984
no_revision,pseudo,pre_second,DELTA_TS,abs_le_0p1,28,0.04821638355224437,0.04025357142857142,0.0042107142857143115
no_revision,pseudo,pre_second,DELTA_TS,abs_0p1_0p2,13,0.15456810298874235,0.15106153846153847,0.00855384615384612
no_revision,pseudo,pre_second,DELTA_TS,abs_0p2_0p5,31,0.32074044023166154,0.31281612903225803,-0.15223548387096775
no_revision,pseudo,pre_second,DELTA_TS,abs_gt_0p5,7,0.9821544255942066,0.8589571428571429,0.02712857142857144
no_revision,pseudo,pre_third,DELTA_MT,abs_le_0p1,3,0.07083213983547525,0.06872500590152897,-0.018553733976357702
no_revision,pseudo,pre_third,DELTA_MT,abs_0p1_0p2,4,0.15040136377828905,0.1467864028855499,-0.1467864028855499
no_revision,pseudo,pre_third,DELTA_MT,abs_0p2_0p5,17,0.35865450330052934,0.3478595236402282,-0.01684428750611942
no_revision,pseudo,pre_third,DELTA_MT,abs_gt_0p5,50,1.7026101356602281,1.4653233137689232,0.5936960771385739
release_dfm,exact,pre_advance,DELTA_SA,abs_le_0p1,18,0.1352348967913223,0.1052365985978107,0.07278905686711541
release_dfm,exact,pre_advance,DELTA_SA,abs_0p1_0p2,9,0.1834366308763139,0.15381237381816928,0.10152672101287537
release_dfm,exact,pre_advance,DELTA_SA,abs_0p2_0p5,32,0.4418876254526299,0.3417922516750552,-0.04771676747647188
release_dfm,exact,pre_advance,DELTA_SA,abs_gt_0p5,20,1.132356488645449,0.9779429791656723,-0.06771584335076891
release_dfm,exact,pre_second,DELTA_TS,abs_le_0p1,28,0.07028036739704616,0.058289370090783,0.032217482459459656
release_dfm,exact,pre_second,DELTA_TS,abs_0p1_0p2,13,0.16700769769902576,0.15723248941609064,0.05921320549495515
release_dfm,exact,pre_second,DELTA_TS,abs_0p2_0p5,31,0.31989094438386884,0.3056382974317719,-0.12191760018442699
release_dfm,exact,pre_second,DELTA_TS,abs_gt_0p5,7,0.9843122639453401,0.8563263405038395,0.06606820953275341
release_dfm,exact,pre_third,DELTA_MT,abs_le_0p1,3,0.7178884015767725,0.6735994687177546,0.6735994687177546
release_dfm,exact,pre_third,DELTA_MT,abs_0p1_0p2,4,0.14633367127461203,0.14327858286935058,0.04771871088198966
release_dfm,exact,pre_third,DELTA_MT,abs_0p2_0p5,17,0.5827832656836371,0.46983449284180995,0.28785326133290495
release_dfm,exact,pre_third,DELTA_MT,abs_gt_0p5,50,1.7999544144681345,1.5180814223259496,0.9096990744915706
release_dfm,pseudo,pre_advance,DELTA_SA,abs_le_0p1,18,0.1361161908623031,0.10590268946641264,0.07347167576719388
release_dfm,pseudo,pre_advance,DELTA_SA,abs_0p1_0p2,9,0.18356720930774778,0.15336736187518057,0.10280939878925154
release_dfm,pseudo,pre_advance,DELTA_SA,abs_0p2_0p5,32,0.440831202273617,0.34060731178652737,-0.04707096157954288
release_dfm,pseudo,pre_advance,DELTA_SA,abs_gt_0p5,20,1.1305199606886542,0.9771165246881572,-0.0670616114726287
release_dfm,pseudo,pre_second,DELTA_TS,abs_le_0p1,28,0.07028436651748274,0.058312319135180264,0.03216425660921956
release_dfm,pseudo,pre_second,DELTA_TS,abs_0p1_0p2,13,0.16698814897038308,0.15720733445812224,0.05920184196324795
release_dfm,pseudo,pre_second,DELTA_TS,abs_0p2_0p5,31,0.3200010730267931,0.30574457496407553,-0.12184261328492535
release_dfm,pseudo,pre_second,DELTA_TS,abs_gt_0p5,7,0.9843130020538821,0.8563237859450068,0.06607306670637225
release_dfm,pseudo,pre_third,DELTA_MT,abs_le_0p1,3,0.7210390387701812,0.6775090612465414,0.6775090612465414
release_dfm,pseudo,pre_third,DELTA_MT,abs_0p1_0p2,4,0.14534796393287563,0.1423418126094269,0.04782168823176615
release_dfm,pseudo,pre_third,DELTA_MT,abs_0p2_0p5,17,0.5826847671830965,0.4694144507957345,0.2880510560319962
release_dfm,pseudo,pre_third,DELTA_MT,abs_gt_0p5,50,1.79956726627483,1.517597020920656,0.9101390961010951
revision_dfm_kalman_em,exact,pre_advance,DELTA_SA,abs_le_0p1,18,0.3438098020855968,0.23660414968124796,0.18174344924870542
revision_dfm_kalman_em,exact,pre_advance,DELTA_SA,abs_0p1_0p2,9,0.22429817312783326,0.18346483294751667,0.1797621158178049
revision_dfm_kalman_em,exact,pre_advance,DELTA_SA,abs_0p2_0p5,32,0.35217415844186456,0.29885018213269726,0.028076283043874092
revision_dfm_kalman_em,exact,pre_advance,DELTA_SA,abs_gt_0p5,20,1.1242645980665078,0.9829871849059053,0.03803563587670267
revision_dfm_kalman_em,exact,pre_second,DELTA_TS,abs_le_0p1,28,0.048959020362146666,0.04057832728736928,0.007046159057603821
revision_dfm_kalman_em,exact,pre_second,DELTA_TS,abs_0p1_0p2,13,0.15623602272020037,0.15282102823279636,0.014313900622134505
revision_dfm_kalman_em,exact,pre_second,DELTA_TS,abs_0p2_0p5,31,0.3197585908208392,0.3115444199137775,-0.14835478733038696
revision_dfm_kalman_em,exact,pre_second,DELTA_TS,abs_gt_0p5,7,0.9829801053773043,0.861439212913676,0.032362350142588335
revision_dfm_kalman_em,exact,pre_third,DELTA_MT,abs_le_0p1,3,0.06801586673971179,0.06597407264749057,-0.016002923318052364
revision_dfm_kalman_em,exact,pre_third,DELTA_MT,abs_0p1_0p2,4,0.14660339282900947,0.14298449112449022,-0.14298449112449022
revision_dfm_kalman_em,exact,pre_third,DELTA_MT,abs_0p2_0p5,17,0.36125888153937014,0.35004842947537573,-0.017670077031824875
revision_dfm_kalman_em,exact,pre_third,DELTA_MT,abs_gt_0p5,50,1.706038812640364,1.46930011654068,0.5960979529170604
revision_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,abs_le_0p1,18,0.3425038013878068,0.23625235212126322,0.18136658370690514
